City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Wilmington,US,34.2257,-77.9447,80.51,77,0,9.22,clear sky
199,Hithadhoo,MV,-0.6,73.0833,83.5,72,92,8.84,light rain
200,Wapi Pathum,TH,15.8452,103.3768,82.33,74,100,6.29,overcast clouds
201,Belle Fourche,US,44.6714,-103.8522,82.33,49,100,6.8,overcast clouds
202,Fortuna,US,40.5982,-124.1573,75.9,74,0,14.97,clear sky
203,Pitea,SE,65.3172,21.4794,53.69,80,58,7.72,broken clouds
204,Nantucket,US,41.2835,-70.0995,71.71,87,0,8.05,clear sky
205,Lorengau,PG,-2.0226,147.2712,84.25,66,23,8.75,few clouds
206,Lompoc,US,34.6391,-120.4579,83.59,62,0,11.5,clear sky
207,Bjornevatn,NO,69.6672,29.9847,61.14,51,100,9.22,overcast clouds
208,Plerin,FR,48.5425,-2.7798,54.45,92,0,1.14,clear sky
209,Cherskiy,RU,68.75,161.3,68.18,28,78,6.17,broken clouds
210,Bonavista,CA,48.6499,-53.1147,53.62,79,100,18.66,overcast clouds
211,Vila,PT,42.0304,-8.1588,64.71,79,0,5.19,clear sky
212,Pombas,CV,17.1503,-25.0201,73.18,77,0,9.35,clear sky
213,Iqaluit,CA,63.7506,-68.5145,47.93,49,75,18.41,broken clouds
214,Eyl,SO,7.9803,49.8164,79.47,74,100,25.79,overcast clouds
215,Alice Springs,AU,-23.7,133.8833,40.55,93,19,1.14,few clouds
216,Bairiki,KI,1.3292,172.9752,84.2,74,20,11.5,few clouds
217,Pontianak,ID,-0.0333,109.3333,75.18,100,100,3.44,mist
218,Sarankhola,BD,22.3082,89.7897,82.2,89,40,8.68,scattered clouds
219,Praia,CV,14.9215,-23.5087,75.74,78,20,8.05,few clouds
220,Ilulissat,GL,69.2167,-51.1,37.42,75,40,9.22,scattered clouds
221,Acapulco,MX,16.8634,-99.8901,87.62,62,75,6.91,broken clouds
222,Guasdualito,VE,7.2424,-70.7324,75.16,100,40,6.91,very heavy rain
223,Jizan,SA,17.3333,42.6667,88.74,62,1,0.54,clear sky
224,Mizdah,LY,31.4451,12.9801,65.5,67,0,6.67,clear sky
225,Broome,US,42.2506,-75.833,70.57,55,75,0.0,broken clouds
226,San Matias,BO,-16.3667,-58.4,63.59,66,99,4.16,overcast clouds
227,Huarmey,PE,-10.0681,-78.1522,65.41,82,11,10.98,few clouds
228,Riyadh,SA,24.6877,46.7219,87.94,14,0,6.17,clear sky
229,Mabaruma,GY,8.2,-59.7833,74.12,98,100,3.69,overcast clouds
230,Rocha,UY,-34.4833,-54.3333,49.03,65,81,16.87,broken clouds
231,Paralimni,CY,35.0375,33.9833,75.15,95,24,11.01,few clouds
232,Avera,US,33.194,-82.5271,89.38,47,87,2.35,overcast clouds
233,Airai,TL,-8.9266,125.4092,58.77,81,100,3.09,overcast clouds
234,Harper,LR,4.375,-7.7169,76.17,88,100,6.08,moderate rain
235,Miracema Do Tocantins,BR,-9.5618,-48.3967,80.85,43,86,2.53,overcast clouds
236,Manado,ID,1.487,124.8455,75.97,94,20,2.3,few clouds
237,Vilhena,BR,-12.7406,-60.1458,66.42,82,75,9.22,broken clouds
238,Dhaulpur,IN,26.7,77.9,92.26,29,15,10.67,few clouds
239,Rizal,PH,15.7118,121.1061,80.85,76,60,2.48,broken clouds
